ID x y RA DEC sed e(4405-5495) wfpc2_f336w
3 511.5 107.849 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.585
6 511.5 171.763 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.823
169 511.5 224.395 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.28
615 511.5 239.342 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.56
405 511.5 314.762 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.64
887 511.5 394.65 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.65
940 511.5 419.471 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.67
145 511.5 473.758 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.93
223 511.5 491.768 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.49
203 511.5 498.241 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.51
24 511.5 525.33 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 12.84
70 511.5 531.331 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.93
129 511.5 596.894 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.97
135 511.5 999.681 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.594
740 511.5 405.008 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.14
78 511.5 503.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.11
112 511.5 540.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.63
331 511.5 546.842 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.3
429 511.5 539.942 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.72
47 511.5 553.747 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.64
21 511.5 519.213 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 12.81
