ID x y RA DEC sed e(4405-5495) wfpc2_f336w
H204 511.5 367.529 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.54
H580 511.5 424.847 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.25
H162 511.5 488.18 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.04
H271 511.5 571.426 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.94
H756 511.5 691.073 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.33
H549 511.5 856.375 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.17
H485 511.5 436.882 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.93
H19 511.5 507.044 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 12.86
H6 511.5 511.944 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 11.86
H46 511.5 553.168 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.64
H3 511.5 520.603 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 11.56
H449 511.5 607.454 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.18
H286 511.5 417.04 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.94
