ID x y RA DEC sed e(4405-5495) wfpc2_f336w
H453 511.5 358.357 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.0
H446 511.5 408.555 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.84
H334 511.5 482.473 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.22
H179 511.5 537.777 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.13
H490 511.5 575.403 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.09
J134 511.5 988.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.784
H805 511.5 593.634 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.52
H92 511.5 516.215 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.28
H391 511.5 489.86 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.44
H504 511.5 412.804 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.97
