    wfc3_x        wfc3_y      wfc3_cts    slit_num        stis_x        stis_y 
166.730000    996.519000       529.188          13      2.451000    945.299376 
126.454000    810.956000       122.218           8      2.175000    758.644944 
 65.583000    798.899000       193.120           1     -2.696000    747.252213 
119.300000    794.188000       222.744           7      3.021000    741.971839 
181.444000    752.252000        57.289          15      1.165000    700.906400 
 83.705000    735.445000       564.478           3     -0.574000    683.608422 
 67.301000    689.724000      1747.454           1     -0.978000    638.077213 
114.327000    669.796000      1337.991           7     -1.952000    617.579839 
140.497000    650.962000      2734.850          10      0.218000    598.461152 
135.151000    638.522000       641.766           9      2.872000    586.116048 
106.343000    638.772000      5141.916           6     -1.936000    586.650735 
116.358000    624.398000      1134.856           7      0.079000    572.181839 
160.789000    648.967000       357.420          13     -3.490000    597.747376 
116.917000    631.893000      1797.794           7      0.638000    579.676839 
174.287000    618.708000       373.236          14      2.008000    567.425388 
178.442000    610.388000       303.052          15     -1.837000    559.042400 
130.464000    564.364000      1115.480           9     -1.815000    511.958048 
136.485000    591.865000       543.073           9      4.206000    539.459048 
139.482000    582.252000       930.893          10     -0.797000    529.751152 
108.354000    586.657000       325.740           6      0.075000    534.535735 
110.913000    570.564000       414.551           6      2.634000    518.442735 
114.373000    365.634000      3094.667           7     -1.906000    313.417839 
 89.423000    576.436000      1044.303           4     -2.856000    524.504526 
 79.707000    564.394000      1415.625           2      3.428000    512.652317 
 74.913000    394.285000       974.392           2     -1.366000    342.543317 
186.805000    544.675000      5517.573          16     -1.474000    493.266412 
121.373000    414.392000      2365.001           8     -2.906000    362.080944 
116.461000    399.099000      3101.740           7      0.182000    346.882839 
140.460000    384.459000      2313.852          10      0.181000    331.958152 
182.201000    381.368000      1080.170          15      1.922000    330.022400 
 69.459000    422.390000      5820.902           1      1.180000    370.743213 
 75.604000    410.594000      3460.448           2     -0.675000    358.852317 
195.518000    505.130000      9892.807          17     -0.761000    453.658423 
157.945000    434.803000      6934.793          12      1.666000    382.112361 
197.807000    414.947000      9766.874          17      1.528000    363.475423 
 89.584000    469.313000      5896.885           4     -2.695000    417.381526 
125.620000    526.414000     11726.050           8      1.341000    474.102944 
153.165000    423.598000      8005.536          12     -3.114000    370.907361 
 75.180000    512.246000     25919.740           2     -1.099000    460.504317 
116.567000    514.717000     12638.590           7      0.288000    462.500839 
121.394000    458.294000     10066.770           8     -2.885000    405.982944 
 89.515000    453.959000      9665.072           4     -2.764000    402.027526 
 97.428000    446.758000     12743.600           5     -2.851000    394.731630 
 82.498000    437.424000      6077.161           3     -1.781000    385.587422 
121.666000    504.243000     12539.600           8     -2.613000    451.931944 
121.560000    496.869000     11534.870           8     -2.719000    444.557944 
142.205000    482.835000     15439.760          10      1.926000    430.334152 
115.855000    476.169000     15996.750           7     -0.424000    423.952839 
118.930000    444.883000     17519.210           7      2.651000    392.666839 
116.507000    434.505000     11816.580           7      0.228000    382.288839 
173.457000    447.989000     18069.200          14      1.178000    396.706388 
 84.331000    538.721000     14614.170           3      0.052000    486.884422 
106.571000    481.165000     15019.660           6     -1.708000    429.043735 
100.777000    476.601000     12577.300           5      0.498000    424.574630 
133.611000    441.744000     50591.160           9      1.332000    389.338048 
133.092000    431.648000     44731.600           9      0.813000    379.242048 
156.165000    456.156000     43356.850          12     -0.114000    403.465361 
143.544000    470.584000     73090.860          10      3.265000    418.083152 
140.878000    459.668000     96358.200          10      0.599000    407.167152 
166.834000    580.632000       305.864          13      2.555000    529.412376 
183.243000    573.087000       481.272          15      2.964000    521.741400 
168.848000    566.737000      1629.452          14     -3.431000    515.454388 
 86.402000    531.265000     14973.170           3      2.123000    479.428422 
138.436000    419.447000      4447.623          10     -1.843000    366.946152 
149.627000    400.261000      3841.060          11      1.348000    347.665257 
139.449000    356.883000      1147.469          10     -0.830000    304.382152 
153.498000    362.764000      2395.324          12     -2.781000    310.073361 
 73.290000    368.541000       564.782           2     -2.989000    316.799317 
 82.493000    356.334000      1647.429           3     -1.786000    304.497422 
 78.195000    345.810000       678.317           2      1.916000    294.068317 
196.569000    333.355000       763.404          17      0.290000    281.883423 
172.004000    297.451000       669.941          14     -0.275000    246.168388 
176.374000    290.522000       623.129          14      4.095000    239.239388 
 84.564000    293.774000       750.180           3      0.285000    241.937422 
 74.186000    277.069000       363.315           2     -2.093000    225.327317 
135.802000    262.251000       348.900           9      3.523000    209.845048 
137.737000    246.035000       993.600          10     -2.542000    193.534152 
187.774000    237.712000       694.282          16     -0.505000    186.303412 
147.657000    221.275000       178.424          11     -0.622000    168.679257 
153.388000    200.069000       135.694          12     -2.891000    147.378361 
193.470000    192.624000        86.291          17     -2.809000    141.152423 
109.957000    179.052000      1886.120           6      1.678000    126.930735 
 70.535000    186.475000       132.381           1      2.256000    134.828213 
 86.314000    152.185000       528.053           3      2.035000    100.348422 
 87.976000    163.736000       625.791           3      3.697000    111.899422 
 82.939000    158.471000       716.989           3     -1.340000    106.634422 
132.205000    143.879000      1368.273           9     -0.074000     91.473048 
186.804000    125.431000       461.951          16     -1.475000     74.022412 
 84.237000    125.031000       117.548           3     -0.042000     73.194422 
173.110000    111.893000       207.654          14      0.831000     60.610388 
 82.442000     85.649000      1539.852           3     -1.837000     33.812422 
194.409000    309.440000      2054.991          17     -1.870000    257.968423 
184.365000    228.938000       725.880          15      4.086000    177.592400 
122.764000    153.508000      1366.610           8     -1.515000    101.196944 
186.835000    865.817000       105.470          16     -1.444000    814.408412 
168.400000    627.642000       227.166          13      4.121000    576.422377 
113.484000    660.363000       897.415           7     -2.795000    608.146839 
147.505000    616.597000      2519.975          11     -0.774000    564.001257 
153.945000    527.641000      9691.154          12     -2.334000    474.950361 
173.571000    486.821000      5150.204          14      1.292000    435.538388 
173.573000    481.563000      5373.623          14      1.294000    430.280388 
182.584000    495.724000      3651.469          15      2.305000    444.378400 
181.367000    451.036000     13131.540          15      1.088000    399.690400 
