    wfc3_x        wfc3_y      wfc3_cts    slit_num        stis_x        stis_y 
 82.444000     85.637000      1367.857           3     -1.835000     33.800422 
173.604000    111.712000       157.001          14      1.325000     60.429388 
 84.237000    125.031000        86.823           3     -0.042000     73.194422 
186.867000    125.432000       387.625          16     -1.412000     74.023412 
132.205000    143.879000      1135.010           9     -0.074000     91.473048 
 86.314000    152.185000       149.591           3      2.035000    100.348422 
122.913000    153.433000       994.829           8     -1.366000    101.121944 
123.641000    156.533000      1058.204           8     -0.638000    104.221944 
 82.939000    158.471000       358.513           3     -1.340000    106.634422 
 87.976000    163.736000       248.067           3      3.697000    111.899422 
109.957000    179.052000      1654.663           6      1.678000    126.930735 
153.388000    200.069000        92.478          12     -2.891000    147.378361 
147.657000    221.275000       133.088          11     -0.622000    168.679257 
184.365000    228.938000       408.267          15      4.086000    177.592400 
187.774000    237.712000       361.343          16     -0.505000    186.303412 
137.737000    246.035000       864.456          10     -2.542000    193.534152 
152.324000    251.451000        93.269          11      4.045000    198.855257 
135.802000    262.251000       269.904           9      3.523000    209.845048 
 74.186000    277.069000       282.454           2     -2.093000    225.327317 
135.433000    287.194000       361.435           9      3.154000    234.788048 
176.374000    290.522000       251.924          14      4.095000    239.239388 
 84.564000    293.774000       629.202           3      0.285000    241.937422 
172.049000    297.451000       363.060          14     -0.230000    246.168388 
117.214000    305.598000       112.133           7      0.935000    253.381839 
194.409000    309.440000       699.582          17     -1.870000    257.968423 
123.819000    320.424000       216.418           8     -0.460000    268.112944 
 96.498000    321.394000       149.413           4      4.219000    269.462526 
108.574000    333.613000      2591.543           6      0.295000    281.491735 
196.569000    333.355000       268.375          17      0.290000    281.883423 
141.221000    339.622000       103.931          10      0.942000    287.121152 
164.386000    340.974000       211.643          13      0.107000    289.754376 
110.115000    343.589000       825.889           6      1.836000    291.467735 
199.523000    343.864000       108.469          17      3.244000    292.392423 
 78.195000    345.810000       315.118           2      1.916000    294.068317 
111.124000    345.201000       825.616           6      2.845000    293.079735 
 82.493000    356.334000      1302.988           3     -1.786000    304.497422 
139.453000    356.943000       846.142          10     -0.826000    304.442152 
153.498000    362.709000      1922.369          12     -2.781000    310.018361 
114.374000    365.625000      2603.260           7     -1.905000    313.408839 
 73.290000    368.541000       348.974           2     -2.989000    316.799317 
146.252000    369.609000       236.719          11     -2.027000    317.013257 
126.713000    375.633000       839.993           8      2.434000    323.321944 
 96.197000    381.606000      1014.416           4      3.918000    329.674526 
116.464000    381.560000       315.295           7      0.185000    329.343839 
182.201000    381.368000       713.838          15      1.922000    330.022400 
 90.542000    384.351000      2528.252           4     -1.737000    332.419526 
140.467000    384.425000      1620.420          10      0.188000    331.924152 
176.321000    386.724000       235.319          14      4.042000    335.441388 
156.491000    387.988000       253.629          12      0.212000    335.297361 
166.465000    388.553000       564.482          13      2.186000    337.333376 
 86.059000    391.212000       311.446           3      1.780000    339.375422 
 98.686000    393.156000       377.229           5     -1.593000    341.129630 
128.414000    392.013000      2295.070           8      4.135000    339.701944 
172.701000    392.424000       515.418          14      0.422000    341.141388 
 74.913000    394.285000       598.008           2     -1.366000    342.543317 
 99.076000    394.693000       380.833           5     -1.203000    342.666630 
145.461000    394.504000       729.296          11     -2.818000    341.908257 
132.579000    396.070000      1619.708           9      0.300000    343.664048 
179.620000    396.633000       622.149          15     -0.659000    345.287400 
116.461000    399.099000      2256.026           7      0.182000    346.882839 
149.627000    400.261000      1548.747          11      1.348000    347.665257 
 93.733000    405.374000      2965.954           4      1.454000    353.442526 
155.602000    404.961000      1324.854          12     -0.677000    352.270361 
104.423000    406.635000       542.733           5      4.144000    354.608630 
150.420000    406.770000      1189.441          11      2.141000    354.174257 
 75.604000    410.594000      2567.587           2     -0.675000    358.852317 
153.663000    413.980000      2060.010          12     -2.616000    361.289361 
121.392000    414.392000      1295.469           8     -2.887000    362.080944 
180.909000    413.621000       830.587          15      0.630000    362.275400 
197.807000    414.947000      8019.418          17      1.528000    363.475423 
105.509000    417.104000       392.053           6     -2.770000    364.982735 
183.608000    417.643000      1047.984          15      3.329000    366.297400 
138.438000    419.456000      1730.792          10     -1.841000    366.955152 
 69.460000    422.396000      4694.254           1      1.181000    370.749213 
153.165000    423.598000      4949.094          12     -3.114000    370.907361 
192.408000    424.414000       931.616          16      4.129000    373.005412 
187.433000    427.137000       932.805          16     -0.846000    375.728412 
 95.717000    431.238000      2189.813           4      3.438000    379.306526 
171.468000    431.990000       516.283          14     -0.811000    380.707388 
146.841000    434.137000      1076.728          11     -1.438000    381.541257 
106.317000    434.742000      2466.054           6     -1.962000    382.620735 
116.506000    434.481000      5640.521           7      0.227000    382.264839 
157.945000    434.803000      4256.806          12      1.666000    382.112361 
 82.498000    437.424000      3550.912           3     -1.781000    385.587422 
 99.699000    436.722000      1115.900           5     -0.580000    384.695630 
198.824000    437.308000      5468.344          17      2.545000    385.836423 
120.030000    437.769000      5180.697           7      3.751000    385.552839 
133.686000    441.574000     27599.310           9      1.407000    389.168048 
 78.537000    442.352000      2739.204           2      2.258000    390.610317 
139.381000    441.821000     11582.710          10     -0.898000    389.320152 
142.941000    442.636000      5804.731          10      2.662000    390.135152 
199.981000    442.493000      5968.108          17      3.702000    391.021423 
118.930000    444.883000      7534.081           7      2.651000    392.666839 
112.440000    446.344000      3767.343           6      4.161000    394.222735 
124.754000    445.877000      3701.277           8      0.475000    393.565944 
163.693000    446.293000      2471.616          13     -0.586000    395.073376 
191.891000    446.033000      2503.412          16      3.612000    394.624412 
 97.428000    446.758000      8306.386           5     -2.851000    394.731630 
105.185000    448.084000      1965.564           6     -3.094000    395.962735 
 76.500000    448.954000     14124.850           2      0.221000    397.212317 
181.367000    451.036000      4110.759          15      1.088000    399.690400 
 68.407000    451.495000      7835.581           1      0.128000    399.848213 
141.087000    459.356000     61360.580          10      0.808000    406.855152 
107.402000    453.212000      1147.431           6     -0.877000    401.090735 
121.906000    452.832000      3376.342           8     -2.373000    400.520944 
163.666000    453.908000      9154.836          13     -0.613000    402.688377 
 89.515000    453.959000      4808.876           4     -2.764000    402.027526 
195.961000    453.471000      3247.244          17     -0.318000    401.999423 
156.376000    455.983000     25819.000          12      0.097000    403.292361 
121.397000    458.301000      5820.583           8     -2.882000    405.989944 
164.589000    458.297000     12302.210          13      0.310000    407.077377 
110.474000    459.673000       742.950           6      2.195000    407.551735 
189.693000    460.253000       617.667          16      1.414000    408.844412 
108.627000    462.736000       669.974           6      0.348000    410.614735 
124.955000    462.127000      3328.570           8      0.676000    409.815944 
140.458000    463.598000     60093.330          10      0.179000    411.097152 
198.662000    465.436000      3225.332          17      2.383000    413.964423 
158.303000    468.186000      8114.020          12      2.024000    415.495361 
 89.584000    469.313000      3772.519           4     -2.695000    417.381526 
151.310000    469.248000     17164.380          11      3.031000    416.652257 
143.544000    470.584000     19679.220          10      3.265000    418.083152 
106.599000    470.955000       959.255           6     -1.680000    418.833735 
188.944000    470.697000       986.695          16      0.665000    419.288412 
200.468000    470.531000      3140.453          17      4.189000    419.059423 
125.395000    473.334000      2724.508           8      1.116000    421.022944 
100.783000    476.577000      6191.047           5      0.504000    424.550630 
166.808000    473.471000      1126.370          13      2.529000    422.251376 
120.238000    475.531000      8320.812           7      3.959000    423.314839 
115.855000    476.169000      9482.327           7     -0.424000    423.952839 
167.551000    477.837000      1004.744          13      3.272000    426.617376 
182.607000    477.696000       527.711          15      2.328000    426.350400 
106.571000    481.165000      5495.401           6     -1.708000    429.043735 
151.588000    481.905000      6612.603          11      3.309000    429.309257 
173.573000    481.563000      2144.877          14      1.294000    430.280388 
142.205000    482.835000      7336.789          10      1.926000    430.334152 
193.306000    484.561000      1307.155          17     -2.973000    433.089423 
173.577000    486.786000      3002.841          14      1.298000    435.503388 
109.551000    486.780000      1610.781           6      1.272000    434.658735 
123.727000    490.457000      1407.173           8     -0.552000    438.145944 
145.708000    494.490000      1629.744          11     -2.571000    441.894257 
137.720000    495.055000      1063.222          10     -2.559000    442.554152 
161.387000    495.867000      1351.831          13     -2.892000    444.647377 
